#uidA	uidB	altA	altB	aliasA	aliasB	method	author	pmids	taxa	taxb	interactionType	sourcedb	interactionIdentifier	confidence	expansion	biological_role_A	biological_role_B	experimental_role_A	experimental_role_B	interactor_type_A	interactor_type_B	xrefs_A	xrefs_B	xrefs_Interaction	Annotations_A	Annotations_B	Annotations_Interaction	Host_organism_taxid	parameters_Interaction	Creation_date	Update_date	Checksum_A	Checksum_B	Checksum_Interaction	Negative	OriginalReferenceA	OriginalReferenceB	FinalReferenceA	FinalReferenceB	MappingScoreA	MappingScoreB	irogida	irogidb	irigid	crogida	crogidb	crigid	icrogida	icrogidb	icrigid	imex_id	edgetype	numParticipants
uniprotkb:D2CGD1	uniprotkb:D2CGD1	entrezgene/locuslink:2263|genbank_protein_gi:13186243|refseq:NP_075418|rogid:dh49qKuI0+89SUczM1pPlGuyXUw9606|irogid:82200411	entrezgene/locuslink:2263|genbank_protein_gi:13186243|refseq:NP_075418|rogid:dh49qKuI0+89SUczM1pPlGuyXUw9606|irogid:82200411	hgnc:FGFR2|uniprotkb:D2CGD1_HUMAN|crogid:XW6x8AHgdb29IL3MhUFWpv4jaqE9606|icrogid:70084128	hgnc:FGFR2|uniprotkb:D2CGD1_HUMAN|crogid:XW6x8AHgdb29IL3MhUFWpv4jaqE9606|icrogid:70084128	-	-	pubmed:11069186	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0462(bind)	bind:90086|rigid:sKBP9oyEu7DGsPV/TFpe8Te/KKo|edgetype:X	hpr:7|lpr:7|np:1	none	MI:0000(unspecified)	MI:0000(unspecified)	MI:0000(unspecified)	MI:0000(unspecified)	MI:0326(protein)	MI:0326(protein)	-	-	-	-	-	-	-	-	2015-04-07	2015-04-07	rogid:dh49qKuI0+89SUczM1pPlGuyXUw9606	rogid:dh49qKuI0+89SUczM1pPlGuyXUw9606	rigid:sKBP9oyEu7DGsPV/TFpe8Te/KKo	false	GenBank:NP_075418	GenBank:NP_075418	refseq:NP_075418	refseq:NP_075418	PD	PD	82200411	82200411	544354	XW6x8AHgdb29IL3MhUFWpv4jaqE9606	XW6x8AHgdb29IL3MhUFWpv4jaqE9606	O7hYZgo25z5T6mYOvdfau35UHBA	70084128	70084128	417960	-	X	2
uniprotkb:D2CGD1	uniprotkb:D2CGD1	entrezgene/locuslink:2263|genbank_protein_gi:13186243|refseq:NP_075418|rogid:dh49qKuI0+89SUczM1pPlGuyXUw9606|irogid:82200411	entrezgene/locuslink:2263|genbank_protein_gi:13186243|refseq:NP_075418|rogid:dh49qKuI0+89SUczM1pPlGuyXUw9606|irogid:82200411	hgnc:FGFR2|uniprotkb:D2CGD1_HUMAN|crogid:XW6x8AHgdb29IL3MhUFWpv4jaqE9606|icrogid:70084128	hgnc:FGFR2|uniprotkb:D2CGD1_HUMAN|crogid:XW6x8AHgdb29IL3MhUFWpv4jaqE9606|icrogid:70084128	-	-	pubmed:11069186	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0462(bind)	bind:90086|rigid:sKBP9oyEu7DGsPV/TFpe8Te/KKo|edgetype:X	hpr:7|lpr:7|np:1	none	MI:0000(unspecified)	MI:0000(unspecified)	MI:0000(unspecified)	MI:0000(unspecified)	MI:0326(protein)	MI:0326(protein)	-	-	-	-	-	-	-	-	2015-04-07	2015-04-07	rogid:dh49qKuI0+89SUczM1pPlGuyXUw9606	rogid:dh49qKuI0+89SUczM1pPlGuyXUw9606	rigid:sKBP9oyEu7DGsPV/TFpe8Te/KKo	false	GenBank:NP_075418	GenBank:NP_075418	refseq:NP_075418	refseq:NP_075418	PD	PD	82200411	82200411	544354	XW6x8AHgdb29IL3MhUFWpv4jaqE9606	XW6x8AHgdb29IL3MhUFWpv4jaqE9606	O7hYZgo25z5T6mYOvdfau35UHBA	70084128	70084128	417960	-	X	2
uniprotkb:L7RT22	refseq:NP_002201	entrezgene/locuslink:3693|genbank_protein_gi:20127446|refseq:NP_002204|rogid:AKEnIHjRIjtfCHSUvpAkkWZFAu89606|irogid:24292053	entrezgene/locuslink:3685|entrezgene/locuslink:7449|genbank_protein_gi:4504763|rogid:CfAkIiso8CYRmyM391+17bPlq5w9606|irogid:28894373	hgnc:ITGB5|uniprotkb:ITB5_HUMAN|uniprotkb:L7RT22_HUMAN|crogid:AKEnIHjRIjtfCHSUvpAkkWZFAu89606|icrogid:24292053	hgnc:ITGAV|crogid:3XbANVuHd/2LJX6zckEV6xx09mY9606|icrogid:10960355	-	-	pubmed:12459484	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0462(bind)	bind:217831|rigid:NIC43Tr9EabSlXc5qj/SYeBt38s|edgetype:X	hpr:10|lpr:1|np:4	none	MI:0000(unspecified)	MI:0000(unspecified)	MI:0000(unspecified)	MI:0000(unspecified)	MI:0326(protein)	MI:0326(protein)	-	-	-	-	-	-	-	-	2015-04-07	2015-04-07	rogid:AKEnIHjRIjtfCHSUvpAkkWZFAu89606	rogid:CfAkIiso8CYRmyM391+17bPlq5w9606	rigid:NIC43Tr9EabSlXc5qj/SYeBt38s	false	GenBank:NP_002204	GenBank:NP_002201	refseq:NP_002204	refseq:NP_002201	PD	PD	24292053	28894373	457067	AKEnIHjRIjtfCHSUvpAkkWZFAu89606	3XbANVuHd/2LJX6zckEV6xx09mY9606	BZZb2+pb9kEgl7jIZFVFUn9gCq4	24292053	10960355	20824	-	X	2
uniprotkb:L7RT22	refseq:NP_002201	entrezgene/locuslink:3693|genbank_protein_gi:20127446|refseq:NP_002204|rogid:AKEnIHjRIjtfCHSUvpAkkWZFAu89606|irogid:24292053	entrezgene/locuslink:3685|entrezgene/locuslink:7449|genbank_protein_gi:4504763|rogid:CfAkIiso8CYRmyM391+17bPlq5w9606|irogid:28894373	hgnc:ITGB5|uniprotkb:ITB5_HUMAN|uniprotkb:L7RT22_HUMAN|crogid:AKEnIHjRIjtfCHSUvpAkkWZFAu89606|icrogid:24292053	hgnc:ITGAV|crogid:3XbANVuHd/2LJX6zckEV6xx09mY9606|icrogid:10960355	-	-	pubmed:1694173	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0462(bind)	bind:144488|rigid:NIC43Tr9EabSlXc5qj/SYeBt38s|edgetype:X	hpr:10|lpr:1|np:4	none	MI:0000(unspecified)	MI:0000(unspecified)	MI:0000(unspecified)	MI:0000(unspecified)	MI:0326(protein)	MI:0326(protein)	-	-	-	-	-	-	-	-	2015-04-07	2015-04-07	rogid:AKEnIHjRIjtfCHSUvpAkkWZFAu89606	rogid:CfAkIiso8CYRmyM391+17bPlq5w9606	rigid:NIC43Tr9EabSlXc5qj/SYeBt38s	false	GenBank:NP_002204	GenBank:NP_002201	refseq:NP_002204	refseq:NP_002201	PD	PD	24292053	28894373	457067	AKEnIHjRIjtfCHSUvpAkkWZFAu89606	3XbANVuHd/2LJX6zckEV6xx09mY9606	BZZb2+pb9kEgl7jIZFVFUn9gCq4	24292053	10960355	20824	-	X	2
uniprotkb:L7RT22	refseq:NP_002201	entrezgene/locuslink:3693|genbank_protein_gi:20127446|refseq:NP_002204|rogid:AKEnIHjRIjtfCHSUvpAkkWZFAu89606|irogid:24292053	entrezgene/locuslink:3685|entrezgene/locuslink:7449|genbank_protein_gi:4504763|rogid:CfAkIiso8CYRmyM391+17bPlq5w9606|irogid:28894373	hgnc:ITGB5|uniprotkb:ITB5_HUMAN|uniprotkb:L7RT22_HUMAN|crogid:AKEnIHjRIjtfCHSUvpAkkWZFAu89606|icrogid:24292053	hgnc:ITGAV|crogid:3XbANVuHd/2LJX6zckEV6xx09mY9606|icrogid:10960355	-	-	pubmed:1694173	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0462(bind)	bind:24528|rigid:NIC43Tr9EabSlXc5qj/SYeBt38s|edgetype:X	hpr:10|lpr:1|np:4	none	MI:0000(unspecified)	MI:0000(unspecified)	MI:0000(unspecified)	MI:0000(unspecified)	MI:0326(protein)	MI:0326(protein)	-	-	-	-	-	-	-	-	2015-04-07	2015-04-07	rogid:AKEnIHjRIjtfCHSUvpAkkWZFAu89606	rogid:CfAkIiso8CYRmyM391+17bPlq5w9606	rigid:NIC43Tr9EabSlXc5qj/SYeBt38s	false	GenBank:NP_002204	GenBank:NP_002201	refseq:NP_002204	refseq:NP_002201	PD	PD	24292053	28894373	457067	AKEnIHjRIjtfCHSUvpAkkWZFAu89606	3XbANVuHd/2LJX6zckEV6xx09mY9606	BZZb2+pb9kEgl7jIZFVFUn9gCq4	24292053	10960355	20824	-	X	2
uniprotkb:L7RT22	refseq:NP_002201	entrezgene/locuslink:3693|genbank_protein_gi:20127446|refseq:NP_002204|rogid:AKEnIHjRIjtfCHSUvpAkkWZFAu89606|irogid:24292053	entrezgene/locuslink:3685|entrezgene/locuslink:7449|genbank_protein_gi:4504763|rogid:CfAkIiso8CYRmyM391+17bPlq5w9606|irogid:28894373	hgnc:ITGB5|uniprotkb:ITB5_HUMAN|uniprotkb:L7RT22_HUMAN|crogid:AKEnIHjRIjtfCHSUvpAkkWZFAu89606|icrogid:24292053	hgnc:ITGAV|crogid:3XbANVuHd/2LJX6zckEV6xx09mY9606|icrogid:10960355	-	-	pubmed:11546839	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0462(bind)	bind:98992|rigid:NIC43Tr9EabSlXc5qj/SYeBt38s|edgetype:X	hpr:10|lpr:1|np:4	none	MI:0000(unspecified)	MI:0000(unspecified)	MI:0000(unspecified)	MI:0000(unspecified)	MI:0326(protein)	MI:0326(protein)	-	-	-	-	-	-	-	-	2015-04-07	2015-04-07	rogid:AKEnIHjRIjtfCHSUvpAkkWZFAu89606	rogid:CfAkIiso8CYRmyM391+17bPlq5w9606	rigid:NIC43Tr9EabSlXc5qj/SYeBt38s	false	GenBank:NP_002204	GenBank:NP_002201	refseq:NP_002204	refseq:NP_002201	PD	PD	24292053	28894373	457067	AKEnIHjRIjtfCHSUvpAkkWZFAu89606	3XbANVuHd/2LJX6zckEV6xx09mY9606	BZZb2+pb9kEgl7jIZFVFUn9gCq4	24292053	10960355	20824	-	X	2
uniprotkb:L7RT22	refseq:NP_002201	entrezgene/locuslink:3693|genbank_protein_gi:20127446|refseq:NP_002204|rogid:AKEnIHjRIjtfCHSUvpAkkWZFAu89606|irogid:24292053	entrezgene/locuslink:3685|entrezgene/locuslink:7449|genbank_protein_gi:4504763|rogid:CfAkIiso8CYRmyM391+17bPlq5w9606|irogid:28894373	hgnc:ITGB5|uniprotkb:ITB5_HUMAN|uniprotkb:L7RT22_HUMAN|crogid:AKEnIHjRIjtfCHSUvpAkkWZFAu89606|icrogid:24292053	hgnc:ITGAV|crogid:3XbANVuHd/2LJX6zckEV6xx09mY9606|icrogid:10960355	-	-	pubmed:11884718	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0462(bind)	bind:107265|rigid:NIC43Tr9EabSlXc5qj/SYeBt38s|edgetype:X	hpr:10|lpr:1|np:4	none	MI:0000(unspecified)	MI:0000(unspecified)	MI:0000(unspecified)	MI:0000(unspecified)	MI:0326(protein)	MI:0326(protein)	-	-	-	-	-	-	-	-	2015-04-07	2015-04-07	rogid:AKEnIHjRIjtfCHSUvpAkkWZFAu89606	rogid:CfAkIiso8CYRmyM391+17bPlq5w9606	rigid:NIC43Tr9EabSlXc5qj/SYeBt38s	false	GenBank:NP_002204	GenBank:NP_002201	refseq:NP_002204	refseq:NP_002201	PD	PD	24292053	28894373	457067	AKEnIHjRIjtfCHSUvpAkkWZFAu89606	3XbANVuHd/2LJX6zckEV6xx09mY9606	BZZb2+pb9kEgl7jIZFVFUn9gCq4	24292053	10960355	20824	-	X	2
uniprotkb:L7RT22	refseq:NP_002201	entrezgene/locuslink:3693|genbank_protein_gi:20127446|refseq:NP_002204|rogid:AKEnIHjRIjtfCHSUvpAkkWZFAu89606|irogid:24292053	entrezgene/locuslink:3685|entrezgene/locuslink:7449|genbank_protein_gi:4504763|rogid:CfAkIiso8CYRmyM391+17bPlq5w9606|irogid:28894373	hgnc:ITGB5|uniprotkb:ITB5_HUMAN|uniprotkb:L7RT22_HUMAN|crogid:AKEnIHjRIjtfCHSUvpAkkWZFAu89606|icrogid:24292053	hgnc:ITGAV|crogid:3XbANVuHd/2LJX6zckEV6xx09mY9606|icrogid:10960355	-	-	pubmed:11884718	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0462(bind)	bind:107265|rigid:NIC43Tr9EabSlXc5qj/SYeBt38s|edgetype:X	hpr:10|lpr:1|np:4	none	MI:0000(unspecified)	MI:0000(unspecified)	MI:0000(unspecified)	MI:0000(unspecified)	MI:0326(protein)	MI:0326(protein)	-	-	-	-	-	-	-	-	2015-04-07	2015-04-07	rogid:AKEnIHjRIjtfCHSUvpAkkWZFAu89606	rogid:CfAkIiso8CYRmyM391+17bPlq5w9606	rigid:NIC43Tr9EabSlXc5qj/SYeBt38s	false	GenBank:NP_002204	GenBank:NP_002201	refseq:NP_002204	refseq:NP_002201	PD	PD	24292053	28894373	457067	AKEnIHjRIjtfCHSUvpAkkWZFAu89606	3XbANVuHd/2LJX6zckEV6xx09mY9606	BZZb2+pb9kEgl7jIZFVFUn9gCq4	24292053	10960355	20824	-	X	2
uniprotkb:L7RT22	refseq:NP_002201	entrezgene/locuslink:3693|genbank_protein_gi:20127446|refseq:NP_002204|rogid:AKEnIHjRIjtfCHSUvpAkkWZFAu89606|irogid:24292053	entrezgene/locuslink:3685|entrezgene/locuslink:7449|genbank_protein_gi:4504763|rogid:CfAkIiso8CYRmyM391+17bPlq5w9606|irogid:28894373	hgnc:ITGB5|uniprotkb:ITB5_HUMAN|uniprotkb:L7RT22_HUMAN|crogid:AKEnIHjRIjtfCHSUvpAkkWZFAu89606|icrogid:24292053	hgnc:ITGAV|crogid:3XbANVuHd/2LJX6zckEV6xx09mY9606|icrogid:10960355	-	-	pubmed:11546839	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0462(bind)	bind:98992|rigid:NIC43Tr9EabSlXc5qj/SYeBt38s|edgetype:X	hpr:10|lpr:1|np:4	none	MI:0000(unspecified)	MI:0000(unspecified)	MI:0000(unspecified)	MI:0000(unspecified)	MI:0326(protein)	MI:0326(protein)	-	-	-	-	-	-	-	-	2015-04-07	2015-04-07	rogid:AKEnIHjRIjtfCHSUvpAkkWZFAu89606	rogid:CfAkIiso8CYRmyM391+17bPlq5w9606	rigid:NIC43Tr9EabSlXc5qj/SYeBt38s	false	GenBank:NP_002204	GenBank:NP_002201	refseq:NP_002204	refseq:NP_002201	PD	PD	24292053	28894373	457067	AKEnIHjRIjtfCHSUvpAkkWZFAu89606	3XbANVuHd/2LJX6zckEV6xx09mY9606	BZZb2+pb9kEgl7jIZFVFUn9gCq4	24292053	10960355	20824	-	X	2
uniprotkb:L7RT22	refseq:NP_002201	entrezgene/locuslink:3693|genbank_protein_gi:20127446|refseq:NP_002204|rogid:AKEnIHjRIjtfCHSUvpAkkWZFAu89606|irogid:24292053	entrezgene/locuslink:3685|entrezgene/locuslink:7449|genbank_protein_gi:4504763|rogid:CfAkIiso8CYRmyM391+17bPlq5w9606|irogid:28894373	hgnc:ITGB5|uniprotkb:ITB5_HUMAN|uniprotkb:L7RT22_HUMAN|crogid:AKEnIHjRIjtfCHSUvpAkkWZFAu89606|icrogid:24292053	hgnc:ITGAV|crogid:3XbANVuHd/2LJX6zckEV6xx09mY9606|icrogid:10960355	-	-	pubmed:11884718	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0462(bind)	bind:103416|rigid:NIC43Tr9EabSlXc5qj/SYeBt38s|edgetype:X	hpr:10|lpr:1|np:4	none	MI:0000(unspecified)	MI:0000(unspecified)	MI:0000(unspecified)	MI:0000(unspecified)	MI:0326(protein)	MI:0326(protein)	-	-	-	-	-	-	-	-	2015-04-07	2015-04-07	rogid:AKEnIHjRIjtfCHSUvpAkkWZFAu89606	rogid:CfAkIiso8CYRmyM391+17bPlq5w9606	rigid:NIC43Tr9EabSlXc5qj/SYeBt38s	false	GenBank:NP_002204	GenBank:NP_002201	refseq:NP_002204	refseq:NP_002201	PD	PD	24292053	28894373	457067	AKEnIHjRIjtfCHSUvpAkkWZFAu89606	3XbANVuHd/2LJX6zckEV6xx09mY9606	BZZb2+pb9kEgl7jIZFVFUn9gCq4	24292053	10960355	20824	-	X	2
